    Universidad de Costa Rica   
       Proyecto Eléctrico       
         II Ciclo 2017          
          openHand_Right_Soro.csv        
 Author: Pablo Avila B30724     

 Media:
 Max Deviation:
 Standar Deviation:

,LEFT HAND:, , , , , , , , , , , , , , , , , , , , RIGHT HAND:
,Thumb, , , ,Index, , , ,Middle, , , ,Ring, , , ,Pinky, , , ,Thumb, , , ,Index, , , ,Middle, , , ,Ring, , , ,Pinky
,Metacarpal, Proximal, Middle, Distal,Metacarpal, Proximal, Middle, Distal,Metacarpal, Proximal, Middle, Distal,Metacarpal, Proximal, Middle, Distal,Metacarpal, Proximal, Middle, Distal,Metacarpal, Proximal, Middle, Distal,Metacarpal, Proximal, Middle, Distal,Metacarpal, Proximal, Middle, Distal,Metacarpal, Proximal, Middle, Distal,Metacarpal, Proximal, Middle, Distal,
, , , , , , , , , , , , , , , , , , , , ,54.6648,52.8318,60.9115,72.4251,20.5628,46.1244,73.1681,90.5929,11.9982,43.8904,77.7435,98.5876,18.9262,40.5374,70.9962,90.9886,31.4382,43.2321,61.7068,75.724,
, , , , , , , , , , , , , , , , , , , , ,54.6648,52.8291,60.908,72.4262,20.5628,46.1243,73.168,90.5928,11.9982,43.8911,77.7444,98.5884,18.9262,40.5322,70.9881,90.9791,31.4382,43.232,61.7065,75.7238,
, , , , , , , , , , , , , , , , , , , , ,54.6648,52.8274,60.9101,72.4386,20.5628,46.1243,73.1679,90.5926,11.9982,43.8913,77.7446,98.5886,18.9262,40.5231,70.9743,90.9639,31.4382,43.231,61.705,75.7225,
, , , , , , , , , , , , , , , , , , , , ,54.6648,52.8252,60.9132,72.4563,20.5628,46.1247,73.1685,90.5932,11.9982,43.8913,77.7447,98.5886,18.9262,40.5167,70.9645,90.9529,31.4382,43.2289,61.7014,75.7186,
, , , , , , , , , , , , , , , , , , , , ,54.6648,52.8229,60.9133,72.4644,20.5628,46.1274,73.1727,90.5978,11.9982,43.8913,77.7447,98.5886,18.9262,40.5116,70.9569,90.9448,31.4382,43.2253,61.6951,75.7119,
, , , , , , , , , , , , , , , , , , , , ,54.6648,52.8226,60.9201,72.4832,20.5628,46.1307,73.178,90.6034,11.9982,43.8913,77.7447,98.5886,18.9262,40.5109,70.9559,90.9437,31.4382,43.2228,61.6908,75.7072,
, , , , , , , , , , , , , , , , , , , , ,54.6648,52.821,60.9331,72.5235,20.5628,46.134,73.183,90.6085,11.9982,43.8912,77.7445,98.5884,18.9262,40.5113,70.9566,90.9447,31.4382,43.2209,61.6876,75.704,
, , , , , , , , , , , , , , , , , , , , ,54.6648,52.815,60.9337,72.5478,20.5628,46.1363,73.1865,90.6119,11.9983,43.8911,77.7443,98.5881,18.9262,40.5077,70.9508,90.9375,31.4382,43.2198,61.6857,75.7018,
, , , , , , , , , , , , , , , , , , , , ,54.6648,52.8084,60.9391,72.5879,20.5628,46.1382,73.1896,90.6151,11.9982,43.891,77.7442,98.5879,18.9262,40.5083,70.9518,90.9391,31.4382,43.219,61.6841,75.7001,
, , , , , , , , , , , , , , , , , , , , ,54.6648,52.8028,60.9371,72.6021,20.5628,46.1389,73.1906,90.6162,11.9983,43.891,77.7442,98.588,18.9262,40.5083,70.9519,90.9391,31.4382,43.2194,61.685,75.7014,
, , , , , , , , , , , , , , , , , , , , ,54.6648,52.7976,60.934,72.611,20.5628,46.139,73.1908,90.6165,11.9982,43.8912,77.7445,98.5884,18.9262,40.5082,70.9518,90.939,31.4382,43.2207,61.6875,75.7043,
