    Universidad de Costa Rica   
       Proyecto Eléctrico       
         II Ciclo 2017          
          openHand_Right.csv        
 Author: Pablo Avila B30724     

 Media:
 Max Deviation:
 Standar Deviation:

,LEFT HAND:, , , , , , , , , , , , , , , , , , , , RIGHT HAND:
,Thumb, , , ,Index, , , ,Middle, , , ,Ring, , , ,Pinky, , , ,Thumb, , , ,Index, , , ,Middle, , , ,Ring, , , ,Pinky
,Metacarpal, Proximal, Middle, Distal,Metacarpal, Proximal, Middle, Distal,Metacarpal, Proximal, Middle, Distal,Metacarpal, Proximal, Middle, Distal,Metacarpal, Proximal, Middle, Distal,Metacarpal, Proximal, Middle, Distal,Metacarpal, Proximal, Middle, Distal,Metacarpal, Proximal, Middle, Distal,Metacarpal, Proximal, Middle, Distal,Metacarpal, Proximal, Middle, Distal,
, , , , , , , , , , , , , , , , , , , , ,57.8158,56.809,75.2353,95.5426,21.7481,48.5746,77.0677,95.4962,12.6899,46.4877,82.3531,104.464,20.0172,42.5676,74.6459,95.7756,33.2505,45.0831,64.1448,78.8639,
, , , , , , , , , , , , , , , , , , , , ,57.8158,56.846,75.3026,95.5817,21.7481,48.5754,77.0692,95.4979,12.6899,46.4868,82.3517,104.462,20.0172,42.5657,74.6421,95.7698,33.2504,45.0825,64.1433,78.8615,
, , , , , , , , , , , , , , , , , , , , ,57.8158,56.8795,75.3585,95.5989,21.7481,48.5757,77.0697,95.4986,12.6899,46.4859,82.3502,104.46,20.0172,42.5625,74.6317,95.7488,33.2504,45.0773,64.1322,78.8452,
, , , , , , , , , , , , , , , , , , , , ,57.8158,56.9131,75.4165,95.6202,21.7481,48.5758,77.0698,95.4987,12.6899,46.4849,82.3484,104.458,20.0172,42.5634,74.6313,95.7456,33.2504,45.0749,64.1266,78.8361,
, , , , , , , , , , , , , , , , , , , , ,57.8158,56.9337,75.4482,95.5989,21.7481,48.576,77.0702,95.4992,12.6899,46.4818,82.344,104.453,20.0172,42.5629,74.6302,95.7438,33.2505,45.0682,64.112,78.8143,
, , , , , , , , , , , , , , , , , , , , ,57.8158,56.9542,75.4789,95.5855,21.7481,48.577,77.0718,95.5012,12.6899,46.4792,82.3401,104.449,20.0172,42.5664,74.6345,95.7468,33.2505,45.0618,64.098,78.7934,
, , , , , , , , , , , , , , , , , , , , ,57.8158,56.978,75.5181,95.5816,21.7481,48.577,77.0719,95.5014,12.6899,46.4765,82.336,104.444,20.0172,42.5706,74.64,95.7514,33.2505,45.0597,64.0937,78.7872,
, , , , , , , , , , , , , , , , , , , , ,57.8158,56.9976,75.5478,95.5679,21.7481,48.5771,77.0723,95.5022,12.6899,46.4742,82.3327,104.441,20.0172,42.573,74.6415,95.7494,33.2505,45.0594,64.0931,78.7867,
, , , , , , , , , , , , , , , , , , , , ,57.8158,57.0163,75.5697,95.5296,21.7481,48.577,77.0723,95.5023,12.6899,46.4715,82.3284,104.436,20.0172,42.5745,74.6429,95.7498,33.2504,45.058,64.0903,78.7826,
, , , , , , , , , , , , , , , , , , , , ,57.8158,57.0381,75.6095,95.5395,21.7481,48.577,77.0722,95.5022,12.6899,46.4688,82.3246,104.432,20.0172,42.5795,74.6512,95.7603,33.2505,45.0575,64.0881,78.7774,
, , , , , , , , , , , , , , , , , , , , ,57.8158,57.0531,75.6319,95.5192,21.7481,48.5769,77.0721,95.5022,12.6899,46.4665,82.3208,104.427,20.0172,42.5811,74.6543,95.7648,33.2504,45.0552,64.0824,78.7679,
, , , , , , , , , , , , , , , , , , , , ,57.8158,57.0655,75.6512,95.5123,21.7481,48.5765,77.0713,95.5014,12.6899,46.4631,82.3156,104.421,20.0172,42.5836,74.6579,95.7683,33.2505,45.0481,64.0673,78.7461,
, , , , , , , , , , , , , , , , , , , , ,57.8158,57.0841,75.684,95.5244,21.7481,48.5757,77.07,95.4999,12.6899,46.4622,82.3139,104.419,20.0172,42.5929,74.6729,95.7867,33.2505,45.0435,64.0574,78.7311,
, , , , , , , , , , , , , , , , , , , , ,57.8158,57.094,75.6995,95.5191,21.7481,48.5753,77.0695,95.4995,12.6899,46.4609,82.312,104.416,20.0172,42.5933,74.6729,95.7857,33.2505,45.0405,64.0514,78.7232,
, , , , , , , , , , , , , , , , , , , , ,57.8158,57.1046,75.7158,95.5116,21.7481,48.5752,77.0692,95.4988,12.6899,46.4598,82.3104,104.415,20.0172,42.5922,74.6713,95.784,33.2505,45.0403,64.0511,78.7231,
