    Universidad de Costa Rica   
       Proyecto Eléctrico       
         II Ciclo 2017          
          openHand_Left.csv        
 Author: Pablo Avila B30724     

 Media:
 Max Deviation:
 Standar Deviation:

,LEFT HAND:, , , , , , , , , , , , , , , , , , , , RIGHT HAND:
,Thumb, , , ,Index, , , ,Middle, , , ,Ring, , , ,Pinky, , , ,Thumb, , , ,Index, , , ,Middle, , , ,Ring, , , ,Pinky
,Metacarpal, Proximal, Middle, Distal,Metacarpal, Proximal, Middle, Distal,Metacarpal, Proximal, Middle, Distal,Metacarpal, Proximal, Middle, Distal,Metacarpal, Proximal, Middle, Distal,Metacarpal, Proximal, Middle, Distal,Metacarpal, Proximal, Middle, Distal,Metacarpal, Proximal, Middle, Distal,Metacarpal, Proximal, Middle, Distal,Metacarpal, Proximal, Middle, Distal,
,56.8934,55.8044,75.0927,97.978,21.4011,47.563,75.4311,93.4836,12.4874,45.1874,80.1985,101.851,19.6978,41.3896,72.7033,93.4298,32.7199,43.5869,61.7319,76.0429,
,56.8934,55.8151,75.1149,98.0029,21.4011,47.5613,75.4286,93.4814,12.4874,45.1873,80.1984,101.851,19.6978,41.3863,72.6983,93.4243,32.7199,43.5867,61.7314,76.0423,
,56.8934,55.8074,75.0969,97.9821,21.4011,47.5598,75.4264,93.4793,12.4874,45.1879,80.1994,101.853,19.6978,41.3799,72.6888,93.414,32.7199,43.5859,61.7296,76.0393,
,56.8934,55.8111,75.1061,97.9933,21.4011,47.5579,75.4233,93.4762,12.4874,45.1877,80.1992,101.853,19.6978,41.3778,72.6855,93.4102,32.7199,43.5851,61.728,76.0371,
,56.8934,55.8137,75.1116,97.9994,21.4011,47.5565,75.4208,93.4729,12.4874,45.1875,80.1991,101.853,19.6978,41.374,72.6798,93.404,32.7199,43.5852,61.7281,76.0373,
,56.8934,55.8145,75.1129,98.0007,21.4011,47.5551,75.4184,93.4699,12.4874,45.187,80.1982,101.851,19.6978,41.3707,72.6749,93.3985,32.7199,43.584,61.7262,76.0354,
,56.8934,55.8478,75.1802,98.0731,21.4011,47.5539,75.4164,93.4677,12.4874,45.1867,80.1977,101.851,19.6978,41.3691,72.6725,93.3959,32.7199,43.5826,61.7237,76.0328,
,56.8934,55.8699,75.2254,98.1229,21.4011,47.554,75.4162,93.4668,12.4874,45.1855,80.196,101.849,19.6978,41.3667,72.6686,93.3914,32.7199,43.5811,61.721,76.0299,
,56.8934,55.8684,75.2215,98.1184,21.4011,47.5539,75.4157,93.4659,12.4874,45.182,80.1913,101.844,19.6978,41.3582,72.6544,93.3736,32.7199,43.578,61.7155,76.0235,
,56.8934,55.8718,75.2278,98.1251,21.4011,47.5541,75.4157,93.4656,12.4874,45.1819,80.1911,101.844,19.6978,41.3542,72.648,93.366,32.7199,43.5764,61.7125,76.02,
,56.8934,55.8804,75.2461,98.1452,21.4011,47.5546,75.4165,93.4663,12.4874,45.1818,80.1911,101.845,19.6978,41.3531,72.6465,93.3645,32.7199,43.5738,61.7078,76.0149,
,56.8934,55.8826,75.2507,98.1506,21.4011,47.555,75.4172,93.467,12.4874,45.1818,80.1911,101.845,19.6978,41.3486,72.6397,93.3571,32.7199,43.568,61.6974,76.0031,
,56.8934,55.8797,75.2441,98.1435,21.4011,47.5555,75.418,93.468,12.4874,45.1808,80.1896,101.843,19.6978,41.3348,72.6192,93.3349,32.7199,43.5651,61.692,75.9967,
,56.8934,55.8784,75.2439,98.1463,21.4011,47.5561,75.4189,93.469,12.4874,45.1794,80.1875,101.841,19.6978,41.3282,72.6096,93.3249,32.7199,43.5631,61.6885,75.9929,
,56.8934,55.8524,75.1903,98.09,21.4011,47.557,75.4203,93.4704,12.4874,45.1782,80.1853,101.838,19.6978,41.3208,72.5986,93.3131,32.7199,43.5598,61.6834,75.9887,
,56.8934,55.8565,75.2036,98.1093,21.4011,47.5571,75.4205,93.4707,12.4874,45.1781,80.1852,101.837,19.6978,41.3196,72.5968,93.3112,32.7199,43.5543,61.6741,75.9793,
,56.8934,55.8494,75.1889,98.0943,21.4011,47.5572,75.4207,93.4708,12.4874,45.1776,80.1844,101.836,19.6978,41.318,72.5947,93.3093,32.7199,43.5522,61.6711,75.977,
,56.8934,55.8614,75.215,98.1249,21.4011,47.5576,75.4214,93.4718,12.4874,45.1775,80.1844,101.837,19.6978,41.3179,72.5953,93.3113,32.7199,43.5521,61.671,75.9772,
,56.8934,55.8608,75.2165,98.1285,21.4011,47.5585,75.423,93.4737,12.4874,45.1773,80.1844,101.837,19.6978,41.3184,72.5968,93.3139,32.7199,43.5515,61.6703,75.9773,
,56.8934,55.8537,75.202,98.1138,21.4011,47.5593,75.4244,93.4755,12.4874,45.1774,80.1845,101.837,19.6978,41.3154,72.5922,93.3088,32.7199,43.5514,61.6701,75.977,
,56.8934,55.837,75.1664,98.0755,21.4011,47.5597,75.4254,93.4771,12.4874,45.1795,80.1877,101.841,19.6978,41.3059,72.5786,93.2949,32.7199,43.5499,61.6676,75.9747,
,56.8934,55.8193,75.1274,98.0332,21.4011,47.5599,75.4255,93.4769,12.4874,45.1819,80.1915,101.846,19.6978,41.301,72.5717,93.2883,32.7199,43.5489,61.6658,75.9727,
,56.8934,55.8263,75.1422,98.0502,21.4011,47.5599,75.4254,93.4767,12.4874,45.1859,80.1965,101.849,19.6978,41.3076,72.5823,93.3008,32.7199,43.5486,61.6653,75.9722,
,56.8934,55.8361,75.1646,98.0784,21.4011,47.5602,75.426,93.4777,12.4874,45.1893,80.2003,101.852,19.6978,41.3123,72.59,93.3102,32.7199,43.5485,61.6651,75.9718,
,56.8934,55.8406,75.1755,98.0925,21.4011,47.5612,75.428,93.4804,12.4874,45.1925,80.205,101.857,19.6978,41.319,72.6,93.3208,32.7199,43.5486,61.6652,75.9716,
,56.8934,55.8346,75.1664,98.0854,21.4011,47.5639,75.4329,93.4869,12.4874,45.1961,80.2106,101.863,19.6978,41.3217,72.6039,93.3249,32.7199,43.5487,61.665,75.9707,
,56.8934,55.8399,75.1821,98.1069,21.4011,47.5636,75.4327,93.4869,12.4874,45.2058,80.2262,101.882,19.6978,41.3214,72.6039,93.3256,32.7199,43.549,61.6652,75.9702,
,56.8934,55.8675,75.2545,98.2009,21.4011,47.5636,75.433,93.4875,12.4874,45.2103,80.2328,101.89,19.6978,41.3187,72.5999,93.3213,32.7199,43.549,61.6645,75.968,
,56.8934,55.9134,75.3621,98.3348,21.4011,47.565,75.4356,93.4912,12.4874,45.2267,80.2573,101.917,19.6978,41.3094,72.5859,93.3057,32.7199,43.5481,61.6631,75.9668,
,56.8934,55.9261,75.395,98.3797,21.4011,47.566,75.4379,93.4947,12.4874,45.2397,80.2767,101.938,19.6978,41.3041,72.5774,93.2955,32.7199,43.5475,61.6619,75.9651,
,56.8934,55.9519,75.4517,98.4484,21.4011,47.5696,75.4444,93.5028,12.4874,45.2511,80.2939,101.958,19.6978,41.2995,72.5707,93.2886,32.7199,43.5472,61.6608,75.963,
,56.8934,55.9717,75.4947,98.502,21.4011,47.5756,75.4548,93.516,12.4874,45.2639,80.3141,101.983,19.6978,41.2938,72.5622,93.2794,32.7199,43.547,61.6601,75.9614,
,56.8934,56.007,75.5855,98.6205,21.4011,47.5816,75.4654,93.5291,12.4874,45.2784,80.3354,102.006,19.6978,41.2835,72.5469,93.2629,32.7199,43.5473,61.6598,75.9596,
,56.8934,56.0241,75.6375,98.6952,21.4011,47.5875,75.4753,93.5406,12.4874,45.2913,80.3549,102.028,19.6978,41.275,72.5345,93.2496,32.7199,43.5453,61.6561,75.9553,
,56.8934,56.0374,75.674,98.7454,21.4011,47.5939,75.4858,93.5524,12.4874,45.3133,80.3906,102.072,19.6978,41.2672,72.5229,93.2371,32.7199,43.5446,61.6549,75.9537,
,56.8934,56.038,75.6789,98.7563,21.4011,47.6006,75.4966,93.5644,12.4874,45.3358,80.4247,102.111,19.6978,41.2588,72.5112,93.226,32.7199,43.5433,61.6531,75.9528,
,56.8934,56.0407,75.6863,98.7678,21.4011,47.6098,75.5119,93.5819,12.4874,45.3485,80.4438,102.133,19.6978,41.2534,72.5036,93.2184,32.7199,43.5426,61.6522,75.9524,
,56.8934,56.0429,75.6928,98.7779,21.4011,47.6226,75.5327,93.6052,12.4874,45.3582,80.4568,102.145,19.6978,41.2488,72.4976,93.213,32.7199,43.5424,61.6509,75.9491,
,56.8934,56.0399,75.6887,98.7761,21.4011,47.6335,75.5505,93.6251,12.4874,45.3624,80.4628,102.151,19.6978,41.2455,72.4939,93.211,32.7199,43.5426,61.6497,75.9446,
,56.8934,56.039,75.6871,98.775,21.4011,47.6338,75.5508,93.6249,12.4874,45.3665,80.4686,102.157,19.6978,41.2483,72.4988,93.2174,32.7199,43.5445,61.6519,75.9447,
,56.8934,56.0379,75.6851,98.7733,21.4011,47.6352,75.5527,93.6263,12.4874,45.3691,80.4724,102.161,19.6978,41.2558,72.5099,93.2292,32.7199,43.5473,61.6561,75.9476,
,56.8934,56.0673,75.7459,98.8441,21.4011,47.6358,75.5532,93.6261,12.4874,45.3698,80.4734,102.162,19.6978,41.2708,72.5311,93.25,32.7199,43.5532,61.666,75.9574,
,56.8934,56.0663,75.7448,98.8442,21.4011,47.6381,75.5567,93.6294,12.4874,45.372,80.4762,102.165,19.6978,41.2732,72.534,93.2522,32.7199,43.5551,61.6688,75.9595,
,56.8934,56.068,75.7517,98.857,21.4011,47.6433,75.5647,93.6375,12.4874,45.3804,80.4883,102.177,19.6978,41.2702,72.5294,93.2468,32.7199,43.5556,61.6689,75.9581,
,56.8934,56.0677,75.7554,98.8684,21.4011,47.6459,75.569,93.642,12.4874,45.3893,80.5008,102.19,19.6978,41.2639,72.5192,93.2345,32.7199,43.5559,61.6689,75.9569,
,56.8934,56.0546,75.7305,98.8467,21.4011,47.6486,75.5733,93.6468,12.4874,45.3996,80.5149,102.204,19.6978,41.2548,72.5049,93.2178,32.7199,43.5561,61.6685,75.9548,
,56.8934,56.0545,75.7289,98.8465,21.4011,47.6503,75.576,93.6496,12.4874,45.404,80.5222,102.213,19.6978,41.2504,72.4976,93.2088,32.7199,43.5559,61.668,75.9539,
,56.8934,56.0567,75.7334,98.8528,21.4011,47.6522,75.5788,93.6524,12.4874,45.4077,80.5273,102.218,19.6978,41.2481,72.4933,93.2025,32.7199,43.5558,61.667,75.9515,
